Longitude,Latitude,Steering
35.1867104,32.9070511,-3.1
35.1867104,32.9070511,-2.8
35.1867104,32.9070511,-2.4
35.1867104,32.9070511,-2.1
35.1867104,32.9070511,-1.7
35.1867104,32.9070511,-1.4
35.1867104,32.9070511,-1.4
35.1867104,32.9070511,-1.5
35.1867104,32.9070511,-1.5
35.1867104,32.9070511,-1.6
35.1867104,32.9070511,-1.6
35.1867104,32.9070511,-1.7
35.1867104,32.9070511,-1.7
35.1867104,32.9070511,-1.8
35.1867104,32.9070511,-1.8
35.1867104,32.9070511,-1.9
35.1867104,32.9070511,-2.3
35.1867104,32.9070511,-2.7
35.1867104,32.9070511,-3.2
35.1867104,32.9070511,-3.6
35.1867104,32.9070511,-4
35.1867104,32.9070511,-4.5
35.1867104,32.9070511,-4.9
35.1867104,32.9070511,-5.3
35.1867104,32.9070511,-5.8
35.1867104,32.9070511,-6.2
35.1867104,32.9070511,-5.9
35.1867104,32.9070511,-5.6
35.1867104,32.9070511,-5.3
35.1867104,32.9070511,-5
35.1867104,32.9070511,-4.7
35.1867104,32.9070511,-4.4
35.1867104,32.9070511,-4.1
35.1867104,32.9070511,-3.8
35.1867104,32.9070511,-3.5
35.1867104,32.9070511,-3.2
35.1867104,32.9070511,-3.8
35.1867104,32.9070511,-4.3
35.1867104,32.9070511,-4.9
35.1867104,32.9070511,-5.4
35.1867104,32.9070511,-6
35.1867104,32.9070511,-6.5
35.1867104,32.9070511,-7.1
35.1867104,32.9070511,-7.7
35.1867104,32.9070511,-8.2
35.1867104,32.9070511,-8.8
35.1867104,32.9070511,-8.1
35.1867104,32.9070511,-7.4
35.1867104,32.9070511,-6.6
35.1867104,32.9070511,-5.9
35.1867104,32.9070511,-5.2
35.1867104,32.9070511,-4.5
35.1867104,32.9070511,-3.8
35.1867104,32.9070511,-3.1
35.1867104,32.9070511,-2.4
35.1867104,32.9070511,-1.7
35.1867104,32.9070511,-2
35.1867104,32.9070511,-2.3
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.9
35.1867104,32.9070511,-3.2
35.1867104,32.9070511,-3.5
35.1867104,32.9070511,-3.8
35.1867104,32.9070511,-4.1
35.1867104,32.9070511,-4.4
35.1867104,32.9070511,-4.7
35.1867104,32.9070511,-4.5
35.1867104,32.9070511,-4.3
35.1867104,32.9070511,-4.1
35.1867104,32.9070511,-3.8
35.1867104,32.9070511,-3.6
35.1867104,32.9070511,-3.4
35.1867104,32.9070511,-3.2
35.1867104,32.9070511,-3
35.1867104,32.9070511,-2.8
35.1867104,32.9070511,-2.5
35.1867104,32.9070511,-3.1
35.1867104,32.9070511,-3.6
35.1867104,32.9070511,-4.2
35.1867104,32.9070511,-4.8
35.1867104,32.9070511,-5.3
35.1867104,32.9070511,-5.9
35.1867104,32.9070511,-6.4
35.1867104,32.9070511,-7
35.1867104,32.9070511,-7.6
35.1867104,32.9070511,-8.1
35.1867104,32.9070511,-7.6
35.1867104,32.9070511,-7
35.1867104,32.9070511,-6.5
35.1867104,32.9070511,-6
35.1867104,32.9070511,-5.4
35.1867104,32.9070511,-4.9
35.1867104,32.9070511,-4.3
35.1867104,32.9070511,-3.8
35.1867104,32.9070511,-3.3
35.1867104,32.9070511,-2.7
35.1867104,32.9070511,-3.4
35.1867104,32.9070511,-4
35.1867104,32.9070511,-4.7
35.1867104,32.9070511,-5.4
35.1867104,32.9070511,-6
35.1867104,32.9070511,-6.7
35.1867104,32.9070511,-7.4
35.1867104,32.9070511,-8
35.1867104,32.9070511,-8.7
35.1867104,32.9070511,-9.3
35.1867104,32.9070511,-9.2
35.1867104,32.9070511,-9.1
35.1867104,32.9070511,-9
35.1867104,32.9070511,-8.8
35.1867104,32.9070511,-8.7
35.1867104,32.9070511,-8.6
35.1867104,32.9070511,-8.5
35.1867104,32.9070511,-8.4
35.1867104,32.9070511,-8.2
35.1867104,32.9070511,-8.1
35.1867104,32.9070511,-7.9
35.1867104,32.9070511,-7.7
35.1867104,32.9070511,-7.5
35.1867104,32.9070511,-7.3
35.1867104,32.9070511,-7.1
35.1867104,32.9070511,-6.9
35.1867104,32.9070511,-6.7
35.1867104,32.9070511,-6.4
35.1867104,32.9070511,-6.2
35.1867104,32.9070511,-6
35.1867104,32.9070511,-6.6
35.1867104,32.9070511,-7.1
35.1867104,32.9070511,-7.6
35.1867104,32.9070511,-8.2
35.1867104,32.9070511,-8.7
35.1867104,32.9070511,-9.3
35.1867104,32.9070511,-9.8
35.1867104,32.9070511,-10.3
35.1867104,32.9070511,-10.9
35.1867104,32.9070511,-11.4
35.1867104,32.9070511,-10.5
35.1867104,32.9070511,-9.7
35.1867104,32.9070511,-8.8
35.1867104,32.9070511,-7.9
35.1867104,32.9070511,-7
35.1867104,32.9070511,-6.1
35.1867104,32.9070511,-5.3
35.1867104,32.9070511,-4.4
35.1867104,32.9070511,-3.5
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.6
35.1867104,32.9070511,-2.4
35.1867104,32.9070511,-2.1
35.1867104,32.9070511,-1.9
35.1867104,32.9070511,-1.6
35.1867104,32.9070511,-1.4
35.1867104,32.9070511,-1.2
35.1867104,32.9070511,-0.9
35.1867104,32.9070511,-0.7
35.1867104,32.9070511,-0.4
35.1867104,32.9070511,-0.2
35.1867104,32.9070511,0
35.1867104,32.9070511,0.2
35.1867104,32.9070511,0.4
35.1867104,32.9070511,0.6
35.1867104,32.9070511,0.8
35.1867104,32.9070511,1
35.1867104,32.9070511,1.2
35.1867104,32.9070511,1.4
35.1867104,32.9070511,1.6
35.1867104,32.9070511,1.8
35.1867104,32.9070511,2.5
35.1867104,32.9070511,3.3
35.1867104,32.9070511,4
35.1867104,32.9070511,4.7
35.1867104,32.9070511,5.5
35.1867104,32.9070511,6.2
35.1867104,32.9070511,6.9
35.1867104,32.9070511,7.6
35.1867104,32.9070511,8.4
35.1867104,32.9070511,9.1
35.1867104,32.9070511,9.4
35.1867104,32.9070511,9.8
35.1867104,32.9070511,10.1
35.1867104,32.9070511,10.4
35.1867104,32.9070511,10.7
35.1867104,32.9070511,11.1
35.1867104,32.9070511,11.4
35.1867104,32.9070511,11.7
35.1867104,32.9070511,12.1
35.1867104,32.9070511,12.4
35.1867104,32.9070511,10.6
35.1867104,32.9070511,8.7
35.1867104,32.9070511,6.9
35.1867104,32.9070511,5
35.1867104,32.9070511,3.2
35.1867104,32.9070511,1.3
35.1867104,32.9070511,-0.5
35.1867104,32.9070511,-2.3
35.1867104,32.9070511,-4.2
35.1867104,32.9070511,-6
35.1867104,32.9070511,-4.1
35.1867104,32.9070511,-2.1
35.1867104,32.9070511,-0.2
35.1867104,32.9070511,1.8
35.1867104,32.9070511,3.7
35.1867104,32.9070511,5.7
35.1867104,32.9070511,7.6
35.1867104,32.9070511,9.5
35.1867104,32.9070511,11.5
35.1867104,32.9070511,13.4
35.1867104,32.9070511,14.9
35.1867104,32.9070511,16.3
35.1867104,32.9070511,17.8
35.1867104,32.9070511,19.3
35.1867104,32.9070511,20.7
35.1867104,32.9070511,22.2
35.1867104,32.9070511,23.6
35.1867104,32.9070511,25.1
35.1867104,32.9070511,26.5
35.1867104,32.9070511,28
35.1867104,32.9070511,28.4
35.1867104,32.9070511,28.9
35.1867104,32.9070511,29.4
35.1867104,32.9070511,29.8
35.1867104,32.9070511,30.3
35.1867104,32.9070511,30.7
35.1867104,32.9070511,31.2
35.1867104,32.9070511,31.6
